player,posteam,total_plays,avg_xoe,total_explosives,avg_pred
B.Jarwin,DAL,20,0.6113021075725555,3,0.5386978924274445
B.LaFell,CIN,41,0.6937881242938158,8,0.5013338269256964
B.Marshall,NYJ,29,0.7068376685010975,5,0.4655761246023507
B.Mayfield,CLE,36,0.7012021276685927,2,0.3543534278869629
B.Perriman,TB,33,0.7107571625348293,9,0.5619701101924434
B.Powell,NYJ,126,0.7778025553340003,20,0.3809276033961584
B.Robinson,WAS,38,0.7004523920385461,2,0.35217918690882233
B.Roethlisberger,PIT,22,0.8677319667556069,1,0.17772257869893854
B.Scarbrough,DET,21,0.7079758119015467,2,0.38726228333654855
B.Scott,PHI,59,0.686738656233933,4,0.3810579539355585
B.Snell,PIT,55,0.6405533162030307,2,0.3958103201606057
Br.Hall,NYJ,22,0.8552210209044543,6,0.4175062518228184
C.Akers,LA,58,0.7526617774675632,7,0.36802787770485057
C.Anderson,DEN,92,0.7890807983020077,13,0.3522235495240792
C.Artis-Payne,CAR,22,0.8295649208805778,3,0.3067987154830586
C.Beasley,BUF,60,0.678441816320022,10,0.4882248503466447
C.Beasley,DAL,46,0.7493854249301164,14,0.5549624011568401
C.Brate,TB,80,0.6226020529866219,13,0.5398979470133781
C.Carson,SEA,173,0.7637335557296786,23,0.3692144211489341
C.Clay,BUF,52,0.6040355952886435,6,0.5113490200959719
C.Claypool,PIT,45,0.7362031754520204,10,0.4860190467702018
C.Clement,PHI,47,0.7401270879075882,6,0.3875324865604969
C.Coleman,CLE,33,0.7397503021991614,6,0.4420678796190204
C.Conley,JAX,32,0.7471252838149667,7,0.4716247161850333
C.Conley,KC,25,0.8118916594982147,8,0.5081083405017853
C.Davis,NYJ,25,0.9914429992437362,12,0.48855700075626374
C.Davis,TEN,72,0.6963207223970029,19,0.567568166491886
C.Edmonds,ARI,108,0.6822534711272629,14,0.4473761585023668
C.Edwards-Helaire,KC,106,0.6954692458769061,11,0.40830433902875435
C.Fiedorowicz,HOU,21,0.5354971218676794,2,0.5597409733704158
C.Fleener,NO,28,0.7611336676137788,7,0.4888663323862212
C.Godwin,TB,105,0.6370234604392733,21,0.5629765395607267
C.Ham,MIN,23,0.6895777401716813,3,0.44085704243701435
C.Herndon,NYJ,24,0.705448197821776,5,0.5028851355115572
C.Hogan,NE,34,0.7686127262080417,11,0.5549166855566642
C.Hubbard,CAR,70,0.7203702603067671,6,0.36534402540751865
C.Hyde,HOU,50,0.6865611332654953,3,0.3734388667345047
C.Hyde,JAX,36,0.6154217107428445,0,0.38457828925715554
C.Hyde,SEA,27,0.5889761370641214,0,0.4110238629358786
C.Hyde,SF,116,0.750841754263845,12,0.352606521598224
C.Ivory,BUF,22,0.7263618125156923,3,0.4100018238479441
C.Ivory,JAX,54,0.733322501734451,5,0.3592700908581416
C.Kirk,ARI,72,0.7273180600669649,17,0.5087930510441462
C.Kirk,JAX,26,0.6356036130052346,5,0.5567040793024577
C.Kmet,CHI,29,0.6648441285922609,6,0.542052423131877
C.Kupp,LA,158,0.751736773437337,44,0.5267442392208909
C.Lamb,DAL,89,0.7428183270974106,23,0.5156086391947242
C.McCaffrey,CAR,271,0.6843025321175251,26,0.41163842729206895
C.McCaffrey,SF,42,0.7146763091995603,5,0.4043713098480588
C.Meredith,CHI,26,0.7111200598570017,8,0.596572247835306
C.Michael,SEA,38,0.7061321664797632,3,0.3728152019412894
C.Newton,CAR,66,0.8650036903493332,14,0.34711752177187893
C.Newton,NE,20,0.6911969959735871,2,0.40880300402641295
C.Olave,NO,33,0.6994774156447613,7,0.5126437964764509
C.Patterson,ATL,79,0.7486669096765639,11,0.39057359665255004
C.Patterson,CHI,21,0.760980296702612,4,0.42949589377357844
C.Ridley,ATL,64,0.82510109920986,26,0.58114890079014
C.Rogers,IND,33,0.7692705916635918,9,0.5034566810636809
C.Samuel,CAR,74,0.7216942173403662,16,0.49452199887584997
C.Samuel,WAS,24,0.7438181539376577,5,0.46451517939567566
C.Sims,WAS,22,0.8158083354884927,9,0.5932825736024163
C.Sutton,DEN,86,0.7195567358718362,19,0.5013734966863034
C.Thompson,WAS,85,0.6785057341351228,12,0.4626707364531124
C.Uzomah,CIN,55,0.6375527858734131,6,0.471538123217496
C.Wentz,PHI,52,0.8399933679745748,7,0.2946220166408099
C.West,KC,32,0.6574214436113834,3,0.43632855638861656
C.Wilson,DAL,24,0.9340528771281242,11,0.5242804562052091
D. Thomas,DEN,20,0.7192928411066533,4,0.4807071588933468
D.Adams,GB,176,0.6702447294850241,38,0.5456643614240668
D.Adams,LV,30,0.6781089931726456,6,0.5218910068273545
D.Amendola,DET,37,0.6670776206899334,7,0.5221115684992558
D.Amendola,NE,23,0.7090918175552202,6,0.551777747662171
D.Baldwin,SEA,64,0.6246017445810139,10,0.5316482554189861
D.Booker,DEN,93,0.6645731001451451,10,0.442953781575285
D.Booker,LV,31,0.67074258192893,3,0.42603161161945713
D.Booker,NYG,39,0.7167025357484818,4,0.38586156681562084
D.Brees,NO,24,0.8946785094837347,0,0.10532149051626523
D.Bryant,DAL,59,0.812272146596747,17,0.47586344662359203
D.Carr,LV,52,0.8720508521566024,5,0.22410299399724373
D.Chark Jr.,JAX,32,0.7709945263341069,9,0.5102554736658931
D.Cook,MIN,312,0.7441170305873339,45,0.40011373864343536
D.Dallas,SEA,28,0.6470942039574895,3,0.4600486531853676
D.Duvernay,BAL,24,0.7007920797914267,4,0.46587458687524
D.Foreman,CAR,34,0.7588182328378453,3,0.32941706127980175
D.Foreman,TEN,36,0.7545405510399077,4,0.35657056007120347
D.Freeman,ATL,177,0.7103025346657651,23,0.4196409681590937
D.Freeman,BAL,37,0.6148471461760031,1,0.4121798808510239
D.Funchess,CAR,50,0.6862657085061074,11,0.5337342914938926
D.Goedert,PHI,54,0.7293007740819896,15,0.5484770036957882
D.Hamilton,DEN,34,0.618494756081525,5,0.5285640674478868
D.Harris,KC,21,0.6399906462147122,3,0.5028664966424307
D.Harris,NE,88,0.7578483139249411,12,0.37851532243869523
D.Harris,NO,20,0.7036833345890046,4,0.4963166654109955
D.Henderson,LA,104,0.7857808083868943,16,0.36806534545925945
D.Henry,TEN,377,0.7550691409673868,52,0.3828618935153718
D.Hopkins,ARI,62,0.7201495956509344,15,0.5217858882200334
D.Hopkins,HOU,121,0.666048325782965,27,0.5570921700848036
D.Inman,LAC,22,0.7647217051549391,8,0.5989146584814246
D.Jackson,IND,26,0.7501869717469583,4,0.4036591820991956
D.Jackson,TB,24,0.6806099259605011,5,0.5277234073728323
D.Johnson,ARI,182,0.7470972224415003,25,0.390265414921137
D.Johnson,CLE,80,0.6178581250831485,6,0.45714187491685154
D.Johnson,HOU,79,0.677053508124774,8,0.4242123146600361
D.Johnson,PIT,133,0.7052065703205597,26,0.49028215148395166
D.Johnson Jr.,CLE,34,0.7284049847546745,5,0.41865383877473716
D.Jones,NYG,55,0.83175722225145865,13,0.40460641411217774
D.Knox,BUF,44,0.7260817228393122,11,0.5239182771606878
D.Lewis,NE,50,0.80023134380579,9,0.3797686561942101
D.Lewis,TEN,64,0.6773406867869198,6,0.41640931321308017
D.London,ATL,21,0.7275573980240595,5,0.5105378400711786
D.Martin,LV,27,0.6612454498255694,2,0.41282862424850464
D.Martin,TB,62,0.6928149050762576,3,0.3555721916979359
D.Metcalf,SEA,71,0.6812041338900445,12,0.4878099506169977
D.Moncrief,JAX,23,0.7509158525777899,5,0.46647545177003613
D.Montgomery,CHI,239,0.7282550753908676,25,0.37634743506938345
D.Mooney,CHI,59,0.7020674994436361,12,0.5013223310648385
D.Moore,CAR,102,0.7620962212483088,28,0.5124135826732598
D.Moore,SEA,27,0.7555379608163127,9,0.5777953725170206
D.Murray,TEN,117,0.7534762778852739,13,0.3576348332258371
D.Njoku,CLE,68,0.7077512451831032,16,0.5275428724639556
D.Ogunbowale,JAX,27,0.6254958830497883,2,0.44857819102428576
D.Parker,MIA,118,0.7667393382575552,32,0.5044471024204109
D.Peoples-Jones,CLE,43,0.8602654909671739,16,0.5118275322886401
D.Pierce,HOU,61,0.6945901708524735,5,0.3873770422622806
D.Prescott,DAL,57,0.8709550484230644,11,0.3220274077172865
D.Robinson,KC,47,0.7151857709631007,11,0.5188567822283887
D.Samuel,SF,104,0.7340634714525479,27,0.5255519131628367
D.Schultz,DAL,71,0.6658897433482426,13,0.5172088482010533
D.Singletary,BUF,169,0.7239678932364876,24,0.41804394108303905
D.Slayton,NYG,69,0.7443220572195192,19,0.5310402616210605
D.Smith,PHI,52,0.7640663319482253,15,0.5243952065133132
D.Smythe,MIA,20,0.49849841445684434,1,0.5515015855431556
D.Sproles,PHI,52,0.6341598518192768,3,0.4235324558730309
D.Swift,DET,118,0.6497219790846614,11,0.44349835989838937
D.Thomas,DEN,40,0.7045376159250736,9,0.5204623840749264
D.Walker,TEN,53,0.8195632603370918,18,0.5200593811723421
D.Waller,LV,79,0.7291031319506561,21,0.5367196528594705
D.Washington,LV,75,0.6619808032115301,6,0.41801919678846994
D.Watson,HOU,82,0.7687408904113421,14,0.40199081690573113
D.Westbrook,JAX,54,0.696786528384244,10,0.4883986568009412
D.Williams,KC,23,0.682857074815294,2,0.4040994469238364
D.Williams,MIA,28,0.655380556093795,2,0.4160480153347765
D.Williams,PIT,25,0.7959800684452056,4,0.3640199315547943
DK.Metcalf,SEA,21,0.6730038495290847,4,0.5174723409471058
Da.Johnson,HOU,35,0.795731816973005,6,0.3756967544555664
Da.Williams,KC,50,0.7788469499349594,9,0.4011530500650406
Dam.Williams,KC,29,0.7221762404359621,4,0.4157547940467966
Dj.Moore,CAR,34,0.70593291827861,7,0.49994943466256647
E.Benjamin,ARI,33,0.7631238640257807,5,0.38839128748937085
E.Ebron,DET,33,0.7911865250630812,9,0.4815407476641915
E.Ebron,IND,35,0.5907996330942427,5,0.5520575097629002
E.Ebron,PIT,25,0.6655336654186249,5,0.5344663345813752
E.Elliott,DAL,438,0.7281367963171441,53,0.39286776989290156
E.Engram,NYG,64,0.6350814283359796,10,0.5211685716640204
E.Lacy,GB,23,0.8221365640992704,4,0.3517764793789905
E.McGuire,NYJ,44,0.6850838874551383,5,0.42855247618122533
E.Mitchell,SF,60,0.7862338061134021,10,0.38043286055326464
E.Moore,NYJ,25,0.6680798387527466,6,0.5719201612472534
E.Penny,NYG,21,0.6973598400751749,2,0.39787825516292025
E.Rogers,PIT,26,0.5246673163313132,1,0.5137942221302253
E.Sanders,DEN,74,0.6937764564881453,16,0.5224397597280709
F.Gore,BUF,43,0.8234561331743417,6,0.31607875054658846
F.Gore,IND,125,0.6709996614456176,6,0.3770003385543823
F.Gore,MIA,30,0.6610672473907471,2,0.4055994192759196
F.Gore,NYJ,53,0.6341342847302275,1,0.3847336397980744
F.Moreau,LV,35,0.8552062255995614,14,0.5447937744004386
F.Whittaker,CAR,23,0.733895568743996,5,0.4834957356038301
G.Allison,GB,30,0.6287416656812032,5,0.5379250009854635
G.Bernard,CIN,132,0.6894233084537766,15,0.424213055182587
G.Davis,BUF,50,0.7491288214921952,13,0.5108711785078048
G.Edwards,BAL,93,0.7135304609934489,9,0.3832437325549382
G.Everett,LA,46,0.6952220878523329,11,0.5439083469302758
G.Everett,LAC,25,0.823014862537384,7,0.456985137462616
G.Kittle,SF,108,0.8005794254993951,37,0.5420131670931975
G.Olsen,CAR,55,0.7736351384357972,16,0.5172739524732937
G.Smith,SEA,21,0.8620621278172448,4,0.32841406265894574
G.Tate,DET,70,0.700495437000479,13,0.4852188487138067
G.Tate,NYG,21,0.7459805692945208,4,0.4444956211816697
G.Ward,PHI,33,0.6078400936993685,4,0.5133720275127527
G.Wilson,NYJ,38,0.6681992227309629,7,0.5160113035848266
H.Bryant,CLE,21,0.6428459449892953,3,0.5000111978678476
H.Henry,LAC,61,0.7861328254469105,21,0.5581294696350567
H.Henry,NE,32,0.6284903986379504,5,0.5277596013620496
H.Hurst,ATL,29,0.6125912543000847,5,0.5598225388033636
H.Renfrow,LV,72,0.7125684476147095,17,0.5235426634964016
I.Crowell,CLE,108,0.7476502811467206,12,0.3634608299643905
I.Crowell,NYJ,40,0.7236022803932428,3,0.35139771960675714
I.McKenzie,BUF,43,0.5895436305639356,5,0.5267354392035063
I.Pacheco,KC,34,0.7756164897890652,5,0.3714423337403466
I.Smith,ATL,54,0.6168852136642845,4,0.4571888604097896
I.Smith,MIN,26,0.5310597614600108,2,0.5458633154630661
I.Thomas,CAR,40,0.5715863570570946,4,0.5284136429429054
J.Adams,PHI,25,0.677708410024643,1,0.36229158997535704
J.Ajayi,MIA,99,0.7334613312374462,11,0.37764977987366494
J.Ajayi,PHI,25,0.8034774947166443,5,0.3965225052833557
J.Akins,HOU,44,0.6779744157736952,10,0.5492983114990321
J.Allen,BAL,73,0.7488814371905915,8,0.36070760390529893
J.Allen,BUF,107,0.9119722543754311,32,0.38709316618531664
J.Bellamy,CHI,23,0.545210128893023,2,0.5417463928461075
J.Brissett,IND,31,0.754390956894044,0,0.24560904310595605
J.Brown,BUF,40,0.7248654365539551,12,0.575134563446045
J.Burrow,CIN,36,0.7349487294753393,2,0.3206068260802163
J.Chase,CIN,52,0.7877970910989321,15,0.5006644473626063
J.Conner,ARI,102,0.7720775076863813,16,0.384785237411658
J.Conner,PIT,121,0.7862393992745187,22,0.39557878254366313
J.Cook,LV,40,0.9356462486088276,17,0.48935375139117243
J.Cook,NO,21,0.7828973843937829,6,0.5028169013205028
J.Crowder,NYJ,62,0.7226035989099934,14,0.5032028527029099
J.Crowder,WAS,55,0.7394098690964959,12,0.4787719490853223
J.Dobbins,BAL,55,0.7295853143388574,7,0.3976874129338698
J.Doctson,WAS,34,0.6933022106395048,6,0.4831683775957893
J.Doyle,IND,83,0.6740318360817001,18,0.542835633797818
J.Edelman,NE,99,0.652513782333846,19,0.5394054095853459
J.Fields,CHI,44,0.7003773772581057,6,0.4359862591055306
J.Garoppolo,SF,24,0.8242660562197367,0,0.17573394378026327
J.Goff,LA,36,0.7909957923822932,1,0.2367819853954845
J.Graham,CHI,22,0.6665285757996819,5,0.5607441514730453
J.Graham,GB,27,0.6763093653652403,5,0.5088758198199449
J.Graham,SEA,44,0.7440626729618419,12,0.5286645997654308
J.Grant,MIA,41,0.7177325021929857,9,0.5017796929289655
J.Gresham,ARI,22,0.9326795149933208,9,0.47641139409758826
J.Guyton,LAC,20,0.72311986759305,5,0.52688013240695
J.Hardy,ATL,22,0.6368138058619066,4,0.5450043759562753
J.Hasty,SF,21,0.5844439225537437,1,0.463175125065304
J.Herbert,LAC,33,0.8994234249447332,7,0.312697787176479
J.Hill,BAL,27,0.8142010817925135,6,0.4080211404297087
J.Hill,CIN,68,0.7020818985560361,3,0.3420357485027874
J.Hill,NO,25,0.6118214750289916,4,0.5481785249710083
J.Howard,CHI,112,0.7143416452620711,14,0.41065835473792894
J.Howard,PHI,51,0.7811724882499844,7,0.35608241371079985
J.Hurts,PHI,67,0.8925789688060533,16,0.34622700134320045
J.Jackson,LAC,68,0.6554660275578499,5,0.418063384206856
J.Jacobs,LV,252,0.7330384333100584,30,0.38600918573756066
J.James,PIT,27,0.7510990180351116,6,0.4711232041871106
J.Jefferson,MIN,90,0.7713764203919304,27,0.5286235796080695
J.Jeudy,DEN,61,0.7495061058978565,16,0.5127889760693566
J.Johnson,NO,24,0.7375850857545933,6,0.5124149142454067
J.Jones,ATL,114,0.8116447985041559,45,0.5830920436011072
J.Kearse,NYJ,28,0.6737990900874138,5,0.5047723384840148
J.Kearse,SEA,20,0.6220128282904624,3,0.5279871717095375
J.Kelley,LAC,55,0.6410208940505981,1,0.37716092413122004
J.Kerley,SF,22,0.6097406623038378,2,0.48116842860525305
J.Landry,CLE,100,0.6279713453352451,16,0.5320286546647549
J.Landry,MIA,61,0.6416017730705074,11,0.5387260957819516
J.Matthews,PHI,36,0.7558471908171972,8,0.46637503140502506
J.McKinnon,KC,29,0.6148806080735963,3,0.48856766778847266
J.McKinnon,MIN,94,0.738446575212986,12,0.38921299925509917
J.McKinnon,SF,27,0.7067856992836352,4,0.441362448864513
J.McKissic,SEA,27,0.7569292982419332,5,0.428255886943252
J.McKissic,WAS,60,0.6130214251577855,4,0.45364524150888125
J.McNichols,TEN,32,0.6757658640854061,3,0.41798413591459394
J.Meyers,NE,69,0.7250452950812768,18,0.5358242701361144
J.Mixon,CIN,304,0.7631438954390193,42,0.37501399929782275
J.Nelson,ARI,32,0.6750280796550214,6,0.5124719203449786
J.Nelson,GB,51,0.6938061427836325,7,0.4434487591771519
J.O'Shaughnessy,JAX,31,0.5863682113347515,4,0.5426640467297646
J.Palmer,LAC,41,0.6735106172358117,8,0.5216113339837004
J.Reagor,PHI,27,0.7597296127566585,7,0.4995296465026008
J.Reed,WAS,44,0.6709141609343615,9,0.533631293611093
J.Reynolds,DET,20,0.981764928996563,11,0.5682350710034371
J.Reynolds,LA,47,0.6508443390435361,9,0.5406450226585916
J.Richard,LV,106,0.6562103145527389,11,0.44756327035292137
J.Robinson,JAX,122,0.6863736869370352,14,0.42838041142362066
J.Rodgers,TB,57,0.6717432384428225,5,0.4159760598027915
J.Samuels,PIT,53,0.6692417112161528,5,0.4250979114253566
J.Smith,TEN,35,0.7090870720999581,8,0.5194843564714704
J.Smith-Schuster,KC,23,0.7527671171271283,7,0.5515807089598282
J.Smith-Schuster,PIT,101,0.7050236798454039,20,0.4929961221347941
J.Stewart,CAR,90,0.7519354257318709,8,0.336953463157018
J.Taylor,IND,176,0.7204245195978067,21,0.3988936622203751
J.Waddle,MIA,44,0.6521893953057852,7,0.5069015137851238
J.Warren,PIT,21,0.7554271334693545,3,0.3874300093877883
J.Washington,PIT,46,0.739127489535705,9,0.45652468437733856
J.White,NE,128,0.6381078369449824,15,0.4790796630550176
J.Wilkins,IND,54,0.7270036949603645,7,0.40262593466926505
J.Williams,DEN,65,0.8242807154472057,15,0.406488515322025
J.Williams,DET,46,0.6483496139230935,2,0.39512864694647165
J.Williams,GB,123,0.6871651997411155,14,0.42665593847026667
J.Wilson,MIA,27,0.6394028575332077,3,0.47170825357790347
J.Wilson,SF,97,0.7176383792125073,14,0.42669151769470925
J.Winston,TB,45,0.8109282427363925,8,0.36684953504138523
J.Witten,DAL,49,0.6136534311333481,9,0.570020038254407
J.Wright,CAR,31,0.6750945468102733,6,0.518453840286501
Ja.Brown,ARI,20,0.8119625799357891,7,0.5380374200642108
Ja.Williams,DET,63,0.6699929085988847,4,0.39349915489317877
Jo.Howard,CHI,58,0.7399437293924135,4,0.32902178784896585
Ju.Jones,ATL,26,0.8143530339002609,11,0.6087238891766622
K.Allen,LAC,166,0.7601652437125344,46,0.5169431900224054
K.Ballage,MIA,27,0.7196762937086599,2,0.3543977803654141
K.Benjamin,CAR,35,0.826076905642237,12,0.5167802372149058
K.Bourne,NE,24,0.8694266440967718,9,0.5055733559032282
K.Bourne,SF,41,0.789543999767885,14,0.5519194148662614
K.Britt,LA,26,0.6829522527181185,6,0.5478169780511123
K.Cole,JAX,49,0.6763749855513476,9,0.5072984838364075
K.Cousins,MIN,39,0.896481997691668,5,0.23172313051346022
K.Dixon,BAL,40,0.7420479625463485,5,0.3829520374536514
K.Drake,ARI,77,0.77983491761343815,9,0.33704819926967866
K.Drake,BAL,30,0.7429328694939613,4,0.390400463839372
K.Drake,LV,24,0.655531303336223,1,0.3861353633304437
K.Drake,MIA,105,0.7301466419583276,14,0.4031866913750058
K.Gainwell,PHI,46,0.7076497236671655,5,0.40104592850674753
K.Golladay,DET,60,0.7542735857268175,19,0.5623930809398492
K.Golladay,NYG,23,0.7616971821888633,7,0.5426506438980931
K.Herbert,CHI,46,0.7579914150030717,8,0.4159216284751892
K.Hinton,DEN,20,0.7370865896344185,5,0.5129134103655815
K.Hunt,CLE,108,0.7150852964432152,16,0.433062851704933
K.Hunt,KC,110,0.7291259063915773,14,0.39814682088115
K.Johnson,DET,76,0.6821568827880057,7,0.4099483803698891
K.Juszczyk,SF,49,0.698188418940622,12,0.5467095402430515
K.Murray,ARI,78,0.8346105521688094,17,0.3833381657799085
K.Osborn,MIN,39,0.7155738660158255,9,0.5151953647534052
K.Pitts,ATL,28,0.7011532187461853,5,0.47741820982524324
K.Raymond,DET,34,0.7219812011017519,8,0.513312916545307
K.Rudolph,MIN,81,0.6655286454860075,17,0.544347897723869
K.Stills,MIA,45,0.721634778380394,10,0.5005874438418283
K.Vaughn,TB,21,0.7289451715492067,1,0.31867387606984093
K.Walker,SEA,64,0.7760170744732022,10,0.38023292552679777
K.Williams,ARI,37,0.7736698662912523,5,0.3614652688438828
L.Bell,KC,20,0.6560802176594734,1,0.3939197823405266
L.Bell,NYJ,63,0.6481143004364438,4,0.41537776305561974
L.Bell,PIT,145,0.74704953802043,22,0.40467459991060456
L.Blount,DET,33,0.6942824703274351,2,0.3663235902786255
L.Blount,NE,66,0.7825342877344652,6,0.30837480317462573
L.Blount,PHI,23,0.8754496380038883,5,0.34194166634393774
L.Fitzgerald,ARI,128,0.6836150353774428,29,0.5429474646225572
L.Fournette,JAX,154,0.7434663030427772,18,0.3734168138403397
L.Fournette,TB,132,0.706579280283415,15,0.40705708335294866
L.Jackson,BAL,142,0.830932568811195,32,0.39441954386486133
L.McCoy,BUF,189,0.7242197381756293,22,0.3921823782264871
L.McCoy,KC,28,0.592411823038544,2,0.47901674839002745
L.Miller,HOU,159,0.6904980954509111,13,0.39126291083839704
L.Murray,BAL,26,0.7060683404023831,3,0.40931627498223233
L.Murray,DEN,28,0.7081997245550156,3,0.3989431325878416
L.Murray,LV,53,0.7279808701209303,4,0.3474908279922773
L.Murray,MIN,77,0.7343030173283118,6,0.34361906059376607
L.Murray,NO,81,0.6958833837214812,7,0.39053636936493863
L.Shenault,JAX,25,0.6378700304031372,4,0.5221299695968628
L.Thomas,WAS,41,0.6133496579600544,5,0.5086015615521408
M.Alie-Cox,IND,27,0.8469735593707474,10,0.5233968109996231
M.Andrews,BAL,95,0.7545368517699994,29,0.5507263061247374
M.Asiata,MIN,28,0.7640566660889557,2,0.30737190533961567
M.Bennett,NE,20,0.7634916335344315,6,0.5365083664655685
M.Breida,SF,90,0.7077469411823485,12,0.42558639215098487
M.Brown,BAL,67,0.6483028017318071,12,0.5308016758801332
M.Brown,LA,83,0.6572770664849913,4,0.39091570459934605
M.Bryant,PIT,24,0.604751498127977,4,0.5619151685386896
M.Callaway,NO,23,0.7644759261089823,6,0.49639363910840906
M.Crabtree,LV,49,0.7171095241697467,13,0.5481965982792328
M.Davis,ATL,41,0.6653915963521818,3,0.40777913535513527
M.Davis,CAR,53,0.6283310052921187,4,0.4471406928210888
M.Davis,SEA,49,0.7986501583031246,8,0.3646151478193244
M.Evans,TB,214,0.7272308858755593,59,0.5484700487038799
M.Forte,NYJ,84,0.6758110846082369,2,0.34799843920128687
M.Gallup,DAL,84,0.6875871881133034,19,0.5386032880771727
M.Gaskin,MIA,104,0.7249646272796851,13,0.4000353727203149
M.Gesicki,MIA,68,0.7260343064280117,13,0.4651421641602236
M.Gillislee,BUF,22,0.8028193685141477,4,0.3789988133040341
M.Goodwin,SF,29,0.7962326900712375,11,0.5830776547563488
M.Gordon,DEN,125,0.7062125236988067,12,0.38978747630119326
M.Gordon,LAC,231,0.7124225070853254,31,0.4217766271138088
M.Hardman,KC,44,0.7870832414112308,13,0.5083713040433147
M.Ingram,BAL,39,0.7763100220606878,6,0.37753613178546613
M.Ingram,NO,171,0.7445507890474029,21,0.3782562284964567
M.Ingram II,BAL,21,0.7789888679981232,4,0.4114873224780673
M.Jones,DET,90,0.7799411869711346,28,0.5311699241399765
M.Jones,JAX,43,0.542884185130513,4,0.5501390706834405
M.Lee,JAX,32,0.6792821930721402,5,0.4769678069278598
M.Lewis,JAX,20,0.7440207540988922,6,0.5559792459011078
M.Lynch,LV,68,0.7655055939274675,6,0.3227297001901795
M.Mack,IND,127,0.7520168163175658,19,0.39758948289503265
M.Mariota,ATL,21,0.8655370360329038,5,0.3725582020623343
