player_short,position
B.Addison,WR
B.Aiyuk,WR
B.Albert,OL
B.Albright,LB
B.Allen,QB
B.Allen-Williams,LB
B.Anae,DL
B.Anderson,RB
B.Andries,OL
B.Anger,P
B.Annen,TE
B.Asamoah,LB
B.Austin,DB
B.Bair,DL
B.Baker,DB
B.Banks,DL
B.Banogu,DL
B.Barnes,TE
B.Bars,DL
B.Bartch,OL
B.Baylor,RB
B.Beise,TE
B.Bell,TE
B.Bennett,DL
B.Benwikere,DB
B.Benzschawel,OL
B.Berrios,WR
B.Bersin,WR
B.Beyer,LB
B.Blackmar,OL
B.Blunt,LB
B.Bobo,WR
B.Boddy-Calhoun,DB
B.Bolden,RB
B.Borders,DB
B.Bortles,QB
B.Bostick,TE
B.Boulware,LB
B.Bower,LB
B.Bowman,TE
B.Boykin,DB
B.Boyko,OL
B.Bozeman,OL
B.Braden,OL
B.Bradley,LB
B.Braman,DL
B.Brandel,OL
B.Braunecker,TE
B.Bredeson,OL
B.Breeland,DB
B.Breeze,DB
B.Brinkley,LS
B.Brooks,OL
B.Brown,LB
B.Brown-Dukes,RB
B.Browner,DB
B.Browning,LB
B.Bryant,DL
B.Bulaga,OL
B.Burks,RB
B.Burns,DL
B.Burr-Kirven,LB
B.Butler,WR
B.Callahan,DB
B.Camper,OL
B.Canady,DB
B.Carr,DB
B.Carter,LB
B.Cashman,LB
B.Celek,TE
B.Cheek,DB
B.Cherry,WR
B.Christensen,OL
B.Chubb,LB
B.Church,DB
B.Clausell,OL
B.Clay,DB
B.Cleveland,OL
B.Cofield,DL
B.Cole,DB
B.Coleman,WR
B.Colquitt,P
B.Cook,DB
B.Cooks,WR
B.Copeland,LB
B.Cosby,DB
B.Cottom,TE
B.Countess,DB
B.Covey,WR
B.Cowart,DL
B.Cox,DL
B.Coyle,LB
B.Cunningham,RB
B.Cushing,LB
B.Dandridge,DB
B.Daniels,WR
B.Deaderick,DL
B.DiNucci,QB
B.Dillon,TE
B.Dixon,DB
B.Doughty,QB
B.Dubose,NA
B.Dunn,DL
B.Dupree,LB
B.Echols,DB
B.Edwards,WR
B.Ellefson,TE
B.Ellington,WR
B.Ellis,LB
B.Estime,WR
B.Evans,OL
B.Facyson,DB
B.Fehoko,DL
B.Ferguson,LS
B.Fineanganofo,OL
B.Finney,OL
B.Flowers,DB
B.Folkerts,OL
B.Fowler,WR
B.Franklin,DB
B.Fusco,OL
B.Gabbert,QB
B.Gaither,WR
B.Gardner,LB
B.Garland,OL
B.Gaston,DL
B.Gedeon,LB
B.Giacomini,OL
B.Gibson,WR
B.Gillikin,P
B.Golden,WR
B.Goode,LS
B.Goodson,LB
B.Gottschalk,OL
B.Gouger,OL
B.Gradkowski,QB
B.Graham,DL
B.Greene,OL
B.Grimes,DB
B.Grubbs,OL
B.Hager,LB
B.Hall,DB
B.Hance,OL
B.Hand,DB
B.Harris,OL
B.Hart,OL
B.Hartline,WR
B.Haubeil,K
B.Hawkins,DB
B.Hector,DL
B.Heeney,LB
B.Heggie,OL
B.Hekking,LB
B.Hepburn,LB
B.Hill,RB
B.Hitner,OL
B.Hodges,TE
B.Hoffman,OL
B.Holly,RB
B.Hopkins,TE
B.Houston,QB
B.Howard,WR
B.Hoyer,QB
B.Hoyett,DL
B.Huff,DL
B.Hundley,QB
B.Ijalana,OL
B.Irvin,LB
B.Jackson,DL
B.Jacobs,LB
B.Jaimes,OL
B.Jarwin,TE
B.Jennings,WR
B.Johnson,K
B.Jones,OL
B.Jordan,TE
B.Kaaya,QB
B.Kaufusi,DL
B.Keeton,DB
B.Kemp,OL
B.Kern,P
B.King,LB
B.Knight,OL
B.Knox,RB
B.Koback,RB
B.Koyack,TE
B.Kublanow,OL
B.LaFell,WR
B.Labelle,TE
B.Langley,DB
B.LeCompte,NA
B.LeMay,RB
B.Lemmons,DB
B.Lenius,TE
B.Lewerke,QB
B.Lewis,WR
B.Linder,OL
B.Logan,DL
B.Lokombo,LB
B.London,LB
B.Love,RB
B.Lundblade,OL
B.Lynch,LB
B.Mack,WR
B.Mafe,LB
B.Maher,K
B.Mahon,OL
B.Mann,P
B.Marquez,WR
B.Marshall,LB
B.Martinez,LB
B.Mason,TE
B.Massie,OL
B.Maxwell,DB
B.Mayfield,QB
B.Mayowa,DL
B.McCain,DB
B.McCord,TE
B.McDougald,DB
B.McGee,DB
B.McKinney,LB
B.McManus,K
B.Mebane,DL
B.Melton,WR
B.Meriweather,DB
B.Mihalik,OL
B.Miller,WR
B.Mills,DB
B.Mingo,LB
B.Mitchell,WR
B.Mone,DL
B.Moore,TE
B.Mosley,OL
B.Muir,OL
B.Murphy,DB
B.Murray,DL
B.Myers,TE
B.Natson,WR
B.Nichols,DL
B.Niemann,LB
B.Nortman,P
B.Notree,LB
B.Nunn,OL
B.O'Neill,OL
B.Okotcha,DB
B.Olaseni,OL
B.Oliver,RB
B.Orakpo,LB
B.Osweiler,QB
B.Parker,OL
B.Pascoe,TE
B.Perkins,QB
B.Perriman,WR
B.Person,NA
B.Peters,LB
B.Petrula,OL
B.Pettigrew,TE
B.Petty,QB
B.Pierce,RB
B.Pinion,P
B.Poole,DB
B.Potoa'e,DL
B.Powell,RB
B.Powers,OL
B.Price,DL
B.Pringle,WR
B.Purdy,QB
B.Quick,WR
B.Qvale,OL
B.Radcliff,RB
B.Radley-Hiles,DB
B.Raimann,OL
B.Rainey,RB
B.Rambo,DB
B.Randolph,DB
B.Reed,DL
B.Reedy,WR
B.Reilly,WR
B.Renaud,RB
B.Renner,QB
B.Richardson,DL
B.Riley,WR
B.Roback,QB
B.Roberts,DL
B.Robinson,RB
B.Robison,DL
B.Roby,DB
B.Rodgers,DL
B.Roethlisberger,QB
B.Ross,RB
B.Rotimi,DL
B.Roy,DL
B.Ruble,OL
B.Rusnak,DB
B.Rypien,QB
B.Sanders,DB
B.Sandland,TE
B.Sankey,RB
B.Scarlett,LB
B.Scherff,OL
B.Schooler,DB
B.Schwenke,OL
B.Scott,RB
B.Seaton,OL
B.Sebastian,DB
B.Seikovits,TE
B.Sheldon,LB
B.Shell,OL
B.Shippen,WR
B.Sims,RB
B.Skowronek,WR
B.Smith,OL
B.Snell,RB
B.Sorensen,QB
B.Sowell,OL
B.Spain,OL
B.Speaks,DL
B.Spector,LB
B.Spikes,LB
B.St-Juste,DB
B.Stallings,OL
B.Stephens,DB
B.Sterk,TE
B.Stewart,DB
B.Stille,DL
B.Stingily,OL
B.Stiverson,OL
B.Stork,OL
B.Sylve,DB
B.Tate,WR
B.Taylor,LB
B.Thomas,OL
B.Thompson,DB
B.Toth,OL
B.Traore,OL
B.Trawick,DB
B.Treggs,WR
B.Turner,OL
B.Urban,DL
B.Vereen,DB
B.Victor,WR
B.Wade,LB
B.Wagner,LB
B.Wallace,OL
B.Walsh,K
B.Walters,WR
B.Walton,OL
B.Washington,DL
B.Watson,TE
B.Watts,LB
B.Webb,DB
B.Weeden,QB
B.Weiss,OL
B.Werner,LB
B.Whitley,DL
B.Wilds,RB
B.Williams,DL
B.Wilson,DB
B.Wing,P
B.Winn,DL
B.Winters,OL
B.Witzmann,OL
B.Womac,DL
B.Woodson,DL
B.Wreh-Wilson,DB
B.Wright,TE
B.Young,LB
B.Zappe,QB
B.Zylstra,WR
C.Adomitis,LS
C.Agudosi,WR
C.Akers,RB
C.Akins,LB
C.Albright,LB
C.Alecxih,DL
C.Allen,LB
C.Anderson,OL
C.Angeline,TE
C.Angulo,DB
C.Anunoby,DL
C.Ariguzo,LB
C.Armstrong,DB
C.Artis-Payne,RB
C.Atwell,WR
C.Austin,WR
C.Avery,LB
C.Avril,DL
C.Awuzie,DB
C.Azubike,NA
C.Baker,DL
C.Ballard,DB
C.Ballentine,DB
C.Banjo,DB
C.Banwart,OL
C.Barker,OL
C.Barmore,DL
C.Barth,K
C.Barton,LB
C.Barwin,LB
C.Basham,DL
C.Batson,WR
C.Bawden,RB
C.Bazile,TE
C.Beasley,WR
C.Beathard,QB
C.Beebe,WR
C.Benenoch,OL
C.Benford,DB
C.Blackwell,OL
C.Blair,WR
C.Blake,WR
C.Blewitt,K
C.Bluiett,TE
C.Board,WR
C.Boffeli,OL
C.Bojorquez,P
C.Boling,OL
C.Bolton,LB
C.Boozer,OL
C.Bordelon,OL
C.Boswell,K
C.Boutte,DB
C.Bozick,OL
C.Bradfield,OL
C.Bradford,LB
C.Brantley,DL
C.Brate,TE
C.Brewer,OL
C.Brice,LB
C.Briggs,OL
C.Brooks,DB
C.Broughton,DL
C.Brown,WR
C.Bryant,DB
C.Butler,DB
C.Bykowski,OL
C.Byndom,DB
C.Bynum,DB
C.Cabral,OL
C.Campbell,DL
C.Canty,DL
C.Capi,DL
C.Carradine,DL
C.Carson,RB
C.Carter,TE
C.Casher,LB
C.Catanzaro,K
C.Cheeseman,LS
C.Chekwa,DB
C.Chester,OL
C.Christiansen,LB
C.Clark,OL
C.Clay,TE
C.Claybrooks,DB
C.Claypool,WR
C.Clement,RB
C.Clements,DL
C.Clemons,DB
C.Coffman,TE
C.Coleman,WR
C.Collins,LB
C.Conley,WR
C.Conrad,TE
C.Conte,DB
C.Conway,OL
C.Cook,QB
C.Cooper,DB
C.Cordasco,OL
C.Core,WR
C.Cothran,DL
C.Coughlin,LB
C.Covington,DL
C.Cox,LS
C.Cronk,OL
C.Cross,OL
C.Croston,OL
C.Culliver,DB
C.Dahl,DB
C.Daniel,QB
C.Dantzler,DB
C.Darrisaw,OL
C.Davis,DB
C.DeBord,OL
C.DiLauro,OL
C.Dicker,P
C.Dublin,OL
C.Duck,DB
C.Duncan,WR
C.Dunlap,DL
C.Dunn,OL
C.Durant,OL
C.Echard,TE
C.Edison,OL
C.Edmonds,RB
C.Edoga,OL
C.Edwards,DB
C.Edwards-Helaire,RB
C.Egbule,LB
C.Eifler,LB
C.Elder,DB
C.Elliss,LB
C.Emmons,RB
